,7a,1b,2b,4b,3b
2005-01-04,1.0961,0.89182,0.89158,0.89381,0.89759
2005-01-05,1.0956,0.89381,0.89135,0.89206,0.89726
2005-01-06,1.0947,0.89206,0.89047,0.89397,0.89638
2005-01-07,1.0923,0.89397,0.89047,0.89734,0.90106
2005-01-08,1.0923,0.89397,0.89047,0.89734,0.90106
2005-01-09,1.0923,0.89397,0.89047,0.89734,0.90106
2005-01-10,1.096,0.89734,0.89326,0.89518,0.89839
2005-01-11,1.0951,0.89518,0.89477,0.89928,0.90351
2005-01-12,1.0918,0.89912,0.89142,0.89461,0.89944
2005-01-13,1.0909,0.89469,0.89294,0.89718,0.9005
2005-01-14,1.0892,0.89718,0.89453,0.89815,0.89985
2005-01-15,1.0892,0.89718,0.89453,0.89815,0.89985
2005-01-16,1.0892,0.89718,0.89453,0.89815,0.89985
2005-01-17,1.0906,0.89815,0.89214,0.89342,0.89912
2005-01-18,1.0895,0.89342,0.89023,0.8971,0.8988
2005-01-19,1.0872,0.8971,0.8967,0.90204,0.90326
2005-01-20,1.0853,0.90204,0.89969,0.90359,0.90695
2005-01-21,1.0807,0.90359,0.90334,0.91233,0.915
2005-01-22,1.0807,0.90359,0.90334,0.91233,0.915
2005-01-23,1.0807,0.90359,0.90334,0.91233,0.915
2005-01-24,1.0815,0.91233,0.90744,0.91391,0.91542
2005-01-25,1.0822,0.91391,0.90827,0.91449,0.91567
2005-01-26,1.0849,0.91449,0.91349,0.91802,0.91988
2005-01-27,1.0881,0.91811,0.91558,0.91912,0.92268
2005-01-28,1.0911,0.9192,0.91642,0.92056,0.92319
2005-01-29,1.0911,0.9192,0.91642,0.92056,0.92319
2005-01-30,1.0911,0.9192,0.91642,0.92056,0.92319
2005-01-31,1.093,0.92056,0.91844,0.91979,0.92311
2005-02-01,1.0906,0.91979,0.91634,0.92022,0.92404
2005-02-02,1.0909,0.92022,0.91878,0.9267,0.92868
2005-02-03,1.089,0.9267,0.92319,0.9255,0.92833
2005-02-04,1.0927,0.9255,0.92353,0.93826,0.93853
2005-02-05,1.0927,0.9255,0.92353,0.93826,0.93853
2005-02-06,1.0927,0.9255,0.92353,0.93826,0.93853
2005-02-07,1.0977,0.93826,0.9344,0.93844,0.94366
2005-02-08,1.0982,0.93844,0.93171,0.93397,0.93967
2005-02-09,1.1028,0.93397,0.93353,0.94473,0.94545
2005-02-10,1.1056,0.94473,0.94109,0.94375,0.94922
2005-02-11,1.1056,0.94375,0.94268,0.94331,0.95184
2005-02-12,1.1056,0.94375,0.94268,0.94331,0.95184
2005-02-13,1.1056,0.94375,0.94268,0.94331,0.95184
2005-02-14,1.104,0.94331,0.93817,0.94127,0.94581
2005-02-15,1.1018,0.94127,0.93345,0.93615,0.94171
2005-02-16,1.1003,0.93615,0.9279,0.93162,0.93615
2005-02-17,1.1007,0.93162,0.92747,0.92911,0.93563
2005-02-18,1.0953,0.9292,0.92825,0.93284,0.93493
2005-02-19,1.0953,0.9292,0.92825,0.93284,0.93493
2005-02-20,1.0953,0.9292,0.92825,0.93284,0.93493
2005-02-21,1.0896,0.93284,0.9261,0.92704,0.93449
2005-02-22,1.0923,0.92704,0.91659,0.92073,0.92876
2005-02-23,1.0925,0.92073,0.91299,0.91542,0.92302
2005-02-24,1.0918,0.91542,0.91274,0.9176,0.92081
2005-02-25,1.0918,0.9176,0.91316,0.91743,0.91844
2005-02-26,1.0918,0.9176,0.91316,0.91743,0.91844
2005-02-27,1.0918,0.9176,0.91316,0.91743,0.91844
2005-02-28,1.0923,0.91743,0.91659,0.91785,0.92225
2005-03-01,1.0877,0.91785,0.91133,0.91416,0.91929
2005-03-02,1.0802,0.91408,0.91042,0.91768,0.92123
