,7a,1b,2b,4b,3b
2005-01-04,0.89783,10.4946,10.3148,10.3331,10.5021
2005-01-05,0.8975,10.3339,10.2939,10.3264,10.3617
2005-01-06,0.89662,10.3279,10.2548,10.2836,10.3352
2005-01-07,0.90131,10.2836,10.1489,10.195,10.3203
2005-01-08,0.90131,10.2836,10.1489,10.195,10.3203
2005-01-09,0.90131,10.2836,10.1489,10.195,10.3203
2005-01-10,0.89863,10.195,10.1804,10.236,10.2383
2005-01-11,0.90375,10.2352,10.2129,10.2214,10.2697
2005-01-12,0.89969,10.2214,10.1987,10.3264,10.3607
2005-01-13,0.90074,10.3256,10.2126,10.2233,10.337
2005-01-14,0.90009,10.2233,10.1797,10.2217,10.242
2005-01-15,0.90009,10.2233,10.1797,10.2217,10.242
2005-01-16,0.90009,10.2233,10.1797,10.2217,10.242
2005-01-17,0.89936,10.2217,10.1441,10.1637,10.2353
2005-01-18,0.89904,10.1637,10.1346,10.1581,10.1971
2005-01-19,0.90351,10.1581,10.1099,10.1418,10.2303
2005-01-20,0.90719,10.1425,10.0752,10.1026,10.1544
2005-01-21,0.9155,10.1026,10.0943,10.1735,10.1919
2005-01-22,0.9155,10.1026,10.0943,10.1735,10.1919
2005-01-23,0.9155,10.1026,10.0943,10.1735,10.1919
2005-01-24,0.91567,10.1735,10.144,10.1553,10.2159
2005-01-25,0.91592,10.1553,10.0952,10.1272,10.1976
2005-01-26,0.92013,10.1271,10.1154,10.1982,10.2238
2005-01-27,0.92293,10.1982,10.1475,10.159,10.2344
2005-01-28,0.92362,10.159,10.1269,10.1595,10.2008
2005-01-29,0.92362,10.159,10.1269,10.1595,10.2008
2005-01-30,0.92362,10.159,10.1269,10.1595,10.2008
2005-01-31,0.92336,10.1595,10.1203,10.1794,10.1856
2005-02-01,0.9243,10.1786,10.1405,10.201,10.2088
2005-02-02,0.92894,10.201,10.1478,10.1553,10.2127
2005-02-03,0.92885,10.1553,10.0939,10.1156,10.1683
2005-02-04,0.93879,10.1156,10.0025,10.0045,10.1722
2005-02-05,0.93879,10.1156,10.0025,10.0045,10.1722
2005-02-06,0.93879,10.1156,10.0025,10.0045,10.1722
2005-02-07,0.94393,10.0045,9.9316,9.9533,10.0335
2005-02-08,0.93994,9.9533,9.9323,9.9502,9.9816
2005-02-09,0.94572,9.9502,9.937,9.9944,10.0014
2005-02-10,0.94967,9.9944,9.9377,10.0436,10.0655
2005-02-11,0.95274,10.0436,10.0205,10.0876,10.1021
2005-02-12,0.95274,10.0436,10.0205,10.0876,10.1021
2005-02-13,0.95274,10.0436,10.0205,10.0876,10.1021
2005-02-14,0.94607,10.0868,10.0814,10.1053,10.1313
2005-02-15,0.94197,10.1053,10.1045,10.1545,10.179
2005-02-16,0.93642,10.1545,10.1098,10.1739,10.1883
2005-02-17,0.93589,10.1739,10.1504,10.1946,10.2082
2005-02-18,0.93589,10.1946,10.1532,10.1791,10.2034
2005-02-19,0.93589,10.1946,10.1532,10.1791,10.2034
2005-02-20,0.93589,10.1946,10.1532,10.1791,10.2034
2005-02-21,0.93475,10.1791,10.1768,10.2557,10.265
