,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDCHF,Short Swap AUDCHF
2005-01-01,5.14,0.53,0.67,2.0222584147665583e-05,-2.0966880341880342e-05
2005-01-02,5.14,0.53,0.67,2.0222584147665583e-05,-2.0966880341880342e-05
2005-01-03,4.96,0.54,0.63,2.0180835197613722e-05,-2.0955165692007798e-05
2005-01-04,4.95,0.57,0.63,2.016806722689076e-05,-2.0800000000000004e-05
2005-01-05,4.94,0.6,0.7,1.982790871679761e-05,-2.0655270655270658e-05
2005-01-06,5.12,0.61,0.76,1.9789397240377633e-05,-2.0645046960836434e-05
2005-01-07,5.2,0.79,0.93,1.913082437275986e-05,-1.994750656167979e-05
2005-01-08,5.18,0.64,0.74,1.9956850053937434e-05,-2.0523708421797596e-05
2005-01-09,5.15,0.61,0.76,1.9828364950316174e-05,-2.067901234567901e-05
2005-01-10,4.97,0.65,0.71,1.9821328866554996e-05,-2.0467836257309943e-05
2005-01-11,4.97,0.63,0.77,1.954215522054718e-05,-2.0567940552016985e-05
2005-01-12,4.98,0.67,0.81,1.93701226309922e-05,-2.039101203113942e-05
2005-01-13,4.97,0.63,0.77,1.954215522054718e-05,-2.0556441609073184e-05
2005-01-14,4.96,0.62,0.77,1.952833706189411e-05,-2.0589279375221866e-05
2005-01-15,5.19,0.63,0.77,1.9834859091725005e-05,-2.0636172450052577e-05
2005-01-16,5.19,0.62,0.76,1.9879734338538864e-05,-2.0679985979670522e-05
2005-01-17,4.99,0.62,0.76,1.9616026711185313e-05,-2.06235647412118e-05
2005-01-18,5.16,0.63,0.77,1.9796176046176045e-05,-2.0602218700475437e-05
2005-01-19,5.01,0.53,0.66,2.0105379922351637e-05,-2.1042437048776194e-05
2005-01-20,5.0,0.57,0.71,1.986111111111111e-05,-2.0855379188712523e-05
2005-01-21,5.19,0.58,0.73,2.0014360078980435e-05,-2.0800211976682563e-05
2005-01-22,5.13,0.62,0.76,1.980242885626246e-05,-2.0779332987731124e-05
2005-01-23,5.15,0.59,0.73,1.996386630532972e-05,-2.076719576719577e-05
2005-01-24,5.0,0.55,0.68,2e-05,-2.0833333333333333e-05
2005-01-25,4.95,0.63,0.78,1.9467787114845936e-05,-2.0533333333333336e-05
2005-01-26,4.95,0.55,0.69,1.988795518207283e-05,-2.089989350372737e-05
2005-01-27,4.96,0.6,0.66,2.004101416853095e-05,-2.067802626908058e-05
2005-01-28,5.15,0.64,0.74,1.9918699186991868e-05,-2.054673721340388e-05
2005-01-29,5.19,0.6,0.7,2.014898581942201e-05,-2.071188835894718e-05
2005-01-30,5.19,0.6,0.7,2.014898581942201e-05,-2.071188835894718e-05
2005-01-31,4.95,0.54,0.69,1.988795518207283e-05,-2.0944266950656728e-05
2005-02-01,4.96,0.6,0.74,1.9668158090976882e-05,-2.0689349636718057e-05
2005-02-02,5.04,0.63,0.72,1.9867549668874173e-05,-2.0521723646723648e-05
2005-02-03,5.18,0.6,0.75,1.991190219345559e-05,-2.0756538529050376e-05
2005-02-04,5.16,0.57,0.72,2.002164502164502e-05,-2.0866349709455892e-05
2005-02-05,5.2,0.58,0.72,2.007168458781362e-05,-2.0811287477954142e-05
2005-02-06,5.17,0.59,0.74,1.9944174320187287e-05,-2.0789381153305204e-05
2005-02-07,5.16,0.63,0.73,1.9976551226551227e-05,-2.0602218700475437e-05
2005-02-08,5.16,0.62,0.77,1.9796176046176045e-05,-2.0646240535305512e-05
2005-02-09,5.16,0.61,0.76,1.984126984126984e-05,-2.0690262370135583e-05
2005-02-10,5.18,0.62,0.76,1.986695433297375e-05,-2.0668773038441286e-05
2005-02-11,5.18,0.59,0.73,2.0001797914419274e-05,-2.0800421274354923e-05
2005-02-12,5.23,0.63,0.73,2.0064205457463884e-05,-2.0624890293136736e-05
2005-02-13,5.18,0.62,0.76,1.986695433297375e-05,-2.0668773038441286e-05
2005-02-14,5.15,0.61,0.75,1.987353206865402e-05,-2.078993055555556e-05
2005-02-15,5.18,0.6,0.74,1.9956850053937434e-05,-2.0756538529050376e-05
2005-02-16,5.1,0.54,0.69,2.008196721311475e-05,-2.0998415213946113e-05
2005-02-17,5.2,0.51,0.63,2.047491039426523e-05,-2.1172353455818023e-05
2005-02-18,5.11,0.58,0.68,2.0140025459174398e-05,-2.0877009084556255e-05
2005-02-19,5.11,0.57,0.71,2.000363702491362e-05,-2.0920684835779177e-05
2005-02-20,5.11,0.61,0.75,1.982178577923259e-05,-2.0745981830887495e-05
2005-02-21,5.17,0.59,0.73,1.998919502971367e-05,-2.0789381153305204e-05
2005-02-22,5.05,0.59,0.74,1.9788797061524338e-05,-2.071111111111111e-05
2005-02-23,5.23,0.62,0.74,2.0019618334225076e-05,-2.0724486241727617e-05
2005-02-24,5.3,0.54,0.68,2.037037037037037e-05,-2.1196581196581196e-05
2005-02-25,5.3,0.57,0.71,2.023809523809524e-05,-2.1068376068376068e-05
2005-02-26,5.39,0.59,0.69,2.0431229351417146e-05,-2.0972436226673516e-05
2005-02-27,5.29,0.56,0.71,2.0226108461402578e-05,-2.1048999309868872e-05
2005-02-28,5.2,0.6,0.7,2.0161290322580645e-05,-2.0887166236003446e-05
2005-03-01,5.14,0.56,0.71,2.0041621425986248e-05,-2.0942867157378195e-05
2005-03-02,5.37,0.62,0.74,2.0190127332984476e-05,-2.0875937286980233e-05
2005-03-03,5.37,0.62,0.74,2.0190127332984476e-05,-2.0875937286980233e-05
2005-03-04,5.36,0.6,0.72,2.0265548567435363e-05,-2.099236641221374e-05
2005-03-05,5.44,0.6,0.72,2.035886818495514e-05,-2.091906721536351e-05
2005-03-06,5.44,0.6,0.72,2.035886818495514e-05,-2.091906721536351e-05
