,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDNZD,Short Swap AUDNZD
2005-01-01,5.14,6.42,6.57,-6.469417300036195e-06,5.252849002849002e-06
2005-01-02,5.14,6.42,6.57,-6.469417300036195e-06,5.252849002849002e-06
2005-01-03,4.96,6.3,6.61,-7.690156599552572e-06,4.563175615807195e-06
2005-01-04,4.95,6.3,6.61,-7.749766573295989e-06,4.666666666666665e-06
2005-01-05,4.94,6.5,6.65,-7.996632996632996e-06,5.608974358974358e-06
2005-01-06,5.12,6.33,6.63,-6.85366739288308e-06,4.696083643452068e-06
2005-01-07,5.2,6.3,6.6,-6.2724014336917505e-06,4.155730533683288e-06
2005-01-08,5.18,6.52,6.62,-6.472491909385117e-06,5.484784147204528e-06
2005-01-09,5.15,6.49,6.64,-6.729900632339655e-06,5.246913580246914e-06
2005-01-10,4.97,6.32,6.62,-7.677275265214962e-06,4.651780967570444e-06
2005-01-11,4.97,6.3,6.6,-7.584217383212356e-06,4.511677282377915e-06
2005-01-12,4.98,6.28,6.58,-7.432181345224818e-06,4.423213021939136e-06
2005-01-13,4.97,6.28,6.59,-7.537688442211057e-06,4.4745702640439526e-06
2005-01-14,4.96,6.5,6.7,-8.109619686800893e-06,5.50230741924033e-06
2005-01-15,5.19,6.52,6.67,-6.641536528450904e-06,5.16999649491763e-06
2005-01-16,5.19,6.52,6.67,-6.641536528450904e-06,5.16999649491763e-06
2005-01-17,4.99,6.33,6.63,-7.605268039324801e-06,4.5928281222398844e-06
2005-01-18,5.16,6.55,6.75,-7.169913419913422e-06,5.458707518929388e-06
2005-01-19,5.01,6.53,6.78,-8.180809761508602e-06,5.3706638492692385e-06
2005-01-20,5.0,6.33,6.63,-7.546296296296298e-06,4.5414462081128775e-06
2005-01-21,5.19,6.57,6.7,-6.776162268892476e-06,5.6527115350644754e-06
2005-01-22,5.13,6.48,6.66,-6.933115823817294e-06,4.536029030585796e-06
2005-01-23,5.15,6.48,6.66,-6.820234869015353e-06,5.2028218694885356e-06
2005-01-24,5.0,6.32,6.62,-7.5e-06,5.017921146953405e-06
2005-01-25,4.95,6.5,6.7,-8.169934640522877e-06,5.555555555555554e-06
2005-01-26,4.95,6.25,6.55,-7.469654528478056e-06,4.392971246006393e-06
2005-01-27,4.96,6.45,6.65,-7.876584638329607e-06,5.280440184593542e-06
2005-01-28,5.15,6.2,6.5,-6.097560975609755e-06,3.968253968253972e-06
2005-01-29,5.19,6.55,6.65,-6.551786034823191e-06,5.564387917329093e-06
2005-01-30,5.19,6.55,6.65,-6.551786034823191e-06,5.564387917329093e-06
2005-01-31,4.95,6.21,6.5,-7.236227824463118e-06,4.215477458288961e-06
2005-02-01,4.96,6.3,6.6,-7.643549589858313e-06,4.563175615807195e-06
2005-02-02,5.04,6.31,6.61,-7.220382634289918e-06,4.763176638176633e-06
2005-02-03,5.18,6.3,6.6,-6.382596188421433e-06,4.256626294540988e-06
2005-02-04,5.16,6.45,6.65,-6.718975468975468e-06,5.018489170628637e-06
2005-02-05,5.2,6.45,6.65,-6.4964157706093195e-06,5.070546737213405e-06
2005-02-06,5.17,6.47,6.62,-6.5280028813254095e-06,5.0545007032348765e-06
2005-02-07,5.16,6.3,6.63,-6.6287878787878756e-06,4.358161648177496e-06
2005-02-08,5.16,6.27,6.57,-6.358225108225109e-06,4.226096143687266e-06
2005-02-09,5.16,6.5,6.7,-6.944444444444445e-06,5.2385983447790095e-06
2005-02-10,5.18,6.5,6.7,-6.832074793239847e-06,5.134281200631912e-06
2005-02-11,5.18,6.49,6.69,-6.787126932758002e-06,5.090398455327364e-06
2005-02-12,5.23,6.51,6.71,-6.598894239343677e-06,5.178163945936453e-06
2005-02-13,5.18,6.51,6.71,-6.877022653721686e-06,5.178163945936453e-06
2005-02-14,5.15,6.47,6.67,-6.865401987353204e-06,4.644097222222218e-06
2005-02-15,5.18,6.33,6.63,-6.517439769866955e-06,4.388274530454625e-06
2005-02-16,5.1,6.27,6.57,-6.693989071038254e-06,4.226096143687266e-06
2005-02-17,5.2,6.28,6.58,-6.182795698924733e-06,4.068241469816275e-06
2005-02-18,5.11,6.46,6.61,-6.819421713038731e-06,4.80433263452131e-06
2005-02-19,5.11,6.45,6.64,-6.955810147299507e-06,4.76065688329839e-06
2005-02-20,5.11,6.45,6.64,-6.955810147299507e-06,4.76065688329839e-06
2005-02-21,5.17,6.23,6.43,-5.672609400324145e-06,3.999648382559777e-06
2005-02-22,5.05,6.29,6.59,-7.070707070707073e-06,4.622222222222225e-06
2005-02-23,5.23,6.27,6.57,-5.974674514000356e-06,3.874956461163358e-06
2005-02-24,5.3,6.27,6.58,-5.643738977072309e-06,3.2905982905982884e-06
2005-02-25,5.3,6.46,6.76,-6.437389770723106e-06,4.102564102564105e-06
2005-02-26,5.39,6.52,6.62,-5.346896191966618e-06,4.408491696627289e-06
2005-02-27,5.29,6.49,6.64,-5.961844197138312e-06,4.528985507246378e-06
2005-02-28,5.2,6.26,6.56,-6.093189964157703e-06,3.4883720930232547e-06
2005-03-01,5.14,6.47,6.67,-6.921824104234531e-06,4.9509288468279e-06
2005-03-02,5.37,6.29,6.59,-5.320076748648175e-06,3.2805044308111822e-06
2005-03-03,5.37,6.26,6.56,-5.189255189255189e-06,3.1526925698704843e-06
2005-03-04,5.36,6.24,6.54,-5.153738644304678e-06,2.9262086513994944e-06
2005-03-05,5.44,6.45,6.6,-5.003450655624563e-06,4.158093278463646e-06
2005-03-06,5.44,6.45,6.6,-5.003450655624563e-06,4.158093278463646e-06
2005-03-07,5.25,6.24,6.53,-5.688888888888892e-06,3.1623931623931647e-06
2005-03-08,5.3,6.35,6.6,-5.731922398589063e-06,3.632478632478632e-06
2005-03-09,5.26,6.25,6.55,-5.7241746538871125e-06,3.2051282051282062e-06
2005-03-10,5.42,6.5,6.8,-5.970924195223259e-06,3.93201420598681e-06
2005-03-11,5.25,6.52,6.82,-6.977777777777781e-06,4.358974358974359e-06
2005-03-12,5.35,6.7,6.85,-6.561679790026248e-06,4.877014418999151e-06
2005-03-13,5.35,6.7,6.85,-6.561679790026248e-06,4.877014418999151e-06
2005-03-14,5.45,6.56,6.86,-6.072351421188634e-06,4.040404040404041e-06
2005-03-15,5.3,6.61,6.86,-6.878306878306879e-06,4.495335029686175e-06
2005-03-16,5.3,6.51,6.81,-6.657848324514992e-06,4.071246819338422e-06
2005-03-17,5.47,6.7,6.95,-6.354113000171733e-06,4.531722054380664e-06
2005-03-18,5.31,6.7,6.95,-7.219580912132422e-06,4.827235772357725e-06
2005-03-19,5.45,6.81,6.91,-6.287683031869076e-06,5.343511450381681e-06
2005-03-20,5.44,6.78,6.93,-6.42684610075914e-06,5.016017534985669e-06
2005-03-21,5.29,6.71,6.96,-7.375022080904434e-06,4.969418960244646e-06
2005-03-22,5.26,6.8,6.95,-7.499112531061416e-06,5.504352278545825e-06
2005-03-23,5.21,6.62,6.92,-7.648953301127211e-06,4.987960096319231e-06
2005-03-24,5.23,6.67,6.93,-7.5798109505974665e-06,5.101165980795605e-06
2005-03-25,5.4,6.83,6.93,-6.640624999999998e-06,5.683760683760685e-06
2005-03-26,5.4,6.8,6.95,-6.7274305555555555e-06,5.555555555555554e-06
2005-03-27,5.4,6.8,6.95,-6.7274305555555555e-06,5.555555555555554e-06
2005-03-28,5.25,6.83,6.93,-7.466666666666664e-06,5.683760683760685e-06
2005-03-29,5.45,6.62,6.92,-6.330749354005165e-06,4.2929292929292925e-06
2005-03-30,5.28,6.63,6.93,-7.298301486199575e-06,4.6792581248936515e-06
2005-03-31,5.5,6.62,6.92,-6.068376068376069e-06,4.051796157059313e-06
2005-04-01,5.5,6.58,6.88,-5.897435897435898e-06,3.884711779448621e-06
2005-04-02,5.46,6.81,6.91,-6.2349501203990354e-06,5.293021680216805e-06
2005-04-03,5.46,6.81,6.91,-6.2349501203990354e-06,5.293021680216805e-06
2005-04-04,5.38,6.66,6.91,-6.661442006269595e-06,4.315401374224906e-06
2005-04-05,5.47,6.63,6.88,-6.053580628541987e-06,4.237999328633767e-06
2005-04-06,5.35,6.7,6.95,-6.999125109361329e-06,5.128205128205128e-06
2005-04-07,5.23,6.52,6.82,-7.089352594970573e-06,4.458161865569268e-06
2005-04-08,5.38,6.67,6.87,-6.487286659700454e-06,4.849412965798877e-06
2005-04-09,5.43,6.63,6.73,-5.616035942630036e-06,4.6792581248936515e-06
2005-04-10,5.43,6.63,6.73,-5.616035942630036e-06,4.6792581248936515e-06
2005-04-11,5.25,6.44,6.74,-6.62222222222222e-06,4.017094017094016e-06
2005-04-12,5.26,6.38,6.68,-6.30102946396876e-06,3.7122375832053245e-06
2005-04-13,5.25,6.43,6.68,-6.355555555555552e-06,3.974358974358975e-06
2005-04-14,5.28,6.42,6.72,-6.369426751592355e-06,3.7859452101412257e-06
2005-04-15,5.29,6.5,6.8,-6.668433139021374e-06,4.077471967380225e-06
