,7a,1b,2b,4b,3b
2005-01-04,0.89783,7.7817,7.7813,7.7885,7.7885
2005-01-05,0.8975,7.7885,7.7868,7.7881,7.79
2005-01-06,0.89662,7.7883,7.788,7.7923,7.7953
2005-01-07,0.90131,7.7923,7.7876,7.7936,7.7938
2005-01-08,0.90131,7.7923,7.7876,7.7936,7.7938
2005-01-09,0.90131,7.7923,7.7876,7.7936,7.7938
2005-01-10,0.89863,7.7937,7.792,7.794,7.7965
2005-01-11,0.90375,7.794,7.7933,7.7948,7.7978
2005-01-12,0.89969,7.7948,7.7881,7.7911,7.7967
2005-01-13,0.90074,7.7911,7.7897,7.7948,7.7951
2005-01-14,0.90009,7.7949,7.7928,7.7949,7.797
2005-01-15,0.90009,7.7949,7.7928,7.7949,7.797
2005-01-16,0.90009,7.7949,7.7928,7.7949,7.797
2005-01-17,0.89936,7.7948,7.7946,7.7978,7.7981
2005-01-18,0.89904,7.7978,7.7972,7.7977,7.7995
2005-01-19,0.90351,7.7977,7.7963,7.7965,7.7989
2005-01-20,0.90719,7.7965,7.7965,7.7982,7.799
2005-01-21,0.9155,7.7982,7.7961,7.7975,7.7988
2005-01-22,0.9155,7.7982,7.7961,7.7975,7.7988
2005-01-23,0.9155,7.7982,7.7961,7.7975,7.7988
2005-01-24,0.91567,7.7975,7.7973,7.7985,7.7991
2005-01-25,0.91592,7.7985,7.7974,7.7979,7.7994
2005-01-26,0.92013,7.7978,7.7975,7.7985,7.7994
2005-01-27,0.92293,7.7985,7.7958,7.7983,7.7988
2005-01-28,0.92362,7.7983,7.7977,7.7991,7.7994
2005-01-29,0.92362,7.7983,7.7977,7.7991,7.7994
2005-01-30,0.92362,7.7983,7.7977,7.7991,7.7994
2005-01-31,0.92336,7.7991,7.799,7.7998,7.7999
2005-02-01,0.9243,7.7998,7.7994,7.7996,7.8006
2005-02-02,0.92894,7.7996,7.799,7.7996,7.7998
2005-02-03,0.92885,7.7996,7.7985,7.7991,7.7998
2005-02-04,0.93879,7.7991,7.7968,7.799,7.7996
2005-02-05,0.93879,7.7991,7.7968,7.799,7.7996
2005-02-06,0.93879,7.7991,7.7968,7.799,7.7996
2005-02-07,0.94393,7.799,7.799,7.7996,7.7998
2005-02-08,0.93994,7.7996,7.7992,7.7996,7.7998
2005-02-09,0.94572,7.7996,7.7992,7.7996,7.7998
2005-02-10,0.94967,7.7997,7.799,7.7997,7.8
2005-02-11,0.95274,7.7997,7.7978,7.7993,7.7998
2005-02-12,0.95274,7.7997,7.7978,7.7993,7.7998
2005-02-13,0.95274,7.7997,7.7978,7.7993,7.7998
2005-02-14,0.94607,7.7993,7.7991,7.7996,7.7996
2005-02-15,0.94197,7.7996,7.7985,7.7995,7.7997
2005-02-16,0.93642,7.7994,7.7992,7.7995,7.7998
2005-02-17,0.93589,7.7996,7.7992,7.7994,7.7998
2005-02-18,0.93589,7.7994,7.7981,7.7996,7.7998
2005-02-19,0.93589,7.7994,7.7981,7.7996,7.7998
2005-02-20,0.93589,7.7994,7.7981,7.7996,7.7998
2005-02-21,0.93475,7.7996,7.799,7.7993,7.7997
2005-02-22,0.92902,7.7993,7.7986,7.7996,7.7996
2005-02-23,0.92328,7.7996,7.7991,7.7996,7.7998
2005-02-24,0.92106,7.7996,7.7993,7.7996,7.7998
2005-02-25,0.9187,7.7996,7.7981,7.7994,7.7997
2005-02-26,0.9187,7.7996,7.7981,7.7994,7.7997
2005-02-27,0.9187,7.7996,7.7981,7.7994,7.7997
2005-02-28,0.92251,7.7994,7.7983,7.7993,7.7994
2005-03-01,0.91954,7.7993,7.7983,7.7993,7.7998
2005-03-02,0.92149,7.7993,7.7991,7.7994,7.7998
2005-03-03,0.92575,7.7995,7.7994,7.7995,7.7998
2005-03-04,0.92894,7.7995,7.7977,7.7994,7.7997
2005-03-05,0.92894,7.7995,7.7977,7.7994,7.7997
2005-03-06,0.92894,7.7995,7.7977,7.7994,7.7997
2005-03-07,0.93301,7.7994,7.7994,7.7997,7.7997
2005-03-08,0.93275,7.7994,7.7994,7.7997,7.7997
2005-03-09,0.92747,7.7997,7.7993,7.7994,7.7997
2005-03-10,0.92073,7.7994,7.7983,7.7994,7.7997
2005-03-11,0.91642,7.7995,7.7972,7.7991,7.7998
2005-03-12,0.91642,7.7995,7.7972,7.7991,7.7998
2005-03-13,0.91642,7.7995,7.7972,7.7991,7.7998
2005-03-14,0.91592,7.7991,7.7991,7.7996,7.7998
2005-03-15,0.92217,7.7996,7.7994,7.7996,7.7999
2005-03-16,0.92056,7.7996,7.7993,7.7995,7.7998
2005-03-17,0.91853,7.7995,7.799,7.7994,7.7998
2005-03-18,0.9267,7.7994,7.7969,7.7989,7.7995
2005-03-19,0.9267,7.7994,7.7969,7.7989,7.7995
2005-03-20,0.9267,7.7994,7.7969,7.7989,7.7995
2005-03-21,0.92894,7.7989,7.7981,7.7991,7.7995
2005-03-22,0.93572,7.7991,7.7989,7.7993,7.7998
2005-03-23,0.92997,7.7993,7.7991,7.7994,7.7998
2005-03-24,0.92868,7.7994,7.7993,7.7996,7.7998
2005-03-25,0.92894,7.7996,7.7983,7.7995,7.7998
2005-03-26,0.92894,7.7996,7.7983,7.7995,7.7998
2005-03-27,0.92894,7.7996,7.7983,7.7995,7.7998
2005-03-28,0.93006,7.7995,7.7994,7.7997,7.7997
2005-03-29,0.93075,7.7997,7.7991,7.7992,7.7999
2005-03-30,0.9279,7.7992,7.7984,7.7988,7.7996
2005-03-31,0.92721,7.7988,7.7986,7.7991,7.7994
2005-04-01,0.93032,7.7991,7.7973,7.7991,7.7993
2005-04-02,0.93032,7.7991,7.7973,7.7991,7.7993
2005-04-03,0.93032,7.7991,7.7973,7.7991,7.7993
2005-04-04,0.93006,7.7991,7.7987,7.7993,7.7996
2005-04-05,0.93058,7.7993,7.799,7.7993,7.7997
2005-04-06,0.92558,7.7993,7.7985,7.7988,7.7996
2005-04-07,0.92851,7.7988,7.7984,7.7993,7.7994
2005-04-08,0.9292,7.7993,7.797,7.7987,7.7993
2005-04-09,0.9292,7.7993,7.797,7.7987,7.7993
2005-04-10,0.9292,7.7993,7.797,7.7987,7.7993
2005-04-11,0.92799,7.7987,7.7986,7.7992,7.7993
2005-04-12,0.93197,7.7992,7.7986,7.7991,7.7993
2005-04-13,0.93694,7.7991,7.7982,7.7988,7.7994
2005-04-14,0.94065,7.7988,7.7983,7.7988,7.7991
2005-04-15,0.93327,7.7988,7.7963,7.7981,7.7988
2005-04-16,0.93327,7.7988,7.7963,7.7981,7.7988
2005-04-17,0.93327,7.7988,7.7963,7.7981,7.7988
2005-04-18,0.92123,7.7981,7.7981,7.7988,7.7993
2005-04-19,0.91408,7.7988,7.7981,7.7988,7.7992
2005-04-20,0.91827,7.7988,7.7985,7.799,7.7995
2005-04-21,0.91937,7.799,7.798,7.7984,7.7995
2005-04-22,0.9273,7.7985,7.7931,7.797,7.7987
2005-04-23,0.9273,7.7985,7.7931,7.797,7.7987
2005-04-24,0.9273,7.7985,7.7931,7.797,7.7987
2005-04-25,0.92963,7.797,7.7948,7.7973,7.7976
2005-04-26,0.92825,7.7973,7.7967,7.7982,7.7989
2005-04-27,0.92876,7.7982,7.7973,7.7977,7.7991
2005-04-28,0.93145,7.7977,7.7974,7.7985,7.799
2005-04-29,0.93572,7.7985,7.7902,7.7951,7.7985
2005-04-30,0.93572,7.7985,7.7902,7.7951,7.7985
2005-05-01,0.93572,7.7985,7.7902,7.7951,7.7985
2005-05-02,0.93615,7.7951,7.795,7.7966,7.7974
2005-05-03,0.93406,7.7965,7.7855,7.7912,7.7969
2005-05-04,0.93171,7.7909,7.7902,7.7936,7.7948
2005-05-05,0.93554,7.7936,7.7906,7.7915,7.7938
2005-05-06,0.93765,7.7914,7.79,7.795,7.795
2005-05-07,0.93765,7.7914,7.79,7.795,7.795
2005-05-08,0.93765,7.7914,7.79,7.795,7.795
2005-05-09,0.93607,7.795,7.7947,7.7981,7.7982
2005-05-10,0.93414,7.798,7.7979,7.7985,7.7988
2005-05-11,0.93826,7.7986,7.7933,7.7968,7.7988
2005-05-12,0.93615,7.7971,7.7956,7.7981,7.7987
2005-05-13,0.93475,7.7981,7.7967,7.7989,7.7992
2005-05-14,0.93475,7.7981,7.7967,7.7989,7.7992
2005-05-15,0.93475,7.7981,7.7967,7.7989,7.7992
2005-05-16,0.92937,7.7989,7.7984,7.7993,7.7995
2005-05-17,0.92773,7.7993,7.7988,7.7989,7.7996
2005-05-18,0.92799,7.7989,7.7902,7.793,7.8083
2005-05-19,0.92954,7.793,7.7885,7.7917,7.7938
2005-05-20,0.93371,7.7917,7.7876,7.7878,7.7925
2005-05-21,0.93371,7.7917,7.7876,7.7878,7.7925
2005-05-22,0.93371,7.7917,7.7876,7.7878,7.7925
2005-05-23,0.93545,7.7878,7.785,7.7856,7.7887
2005-05-24,0.93888,7.7856,7.7757,7.7764,7.7856
2005-05-25,0.93809,7.7764,7.7753,7.7797,7.7823
2005-05-26,0.94091,7.7797,7.7781,7.7789,7.7814
2005-05-27,0.94082,7.779,7.7748,7.7783,7.7791
2005-05-28,0.94082,7.779,7.7748,7.7783,7.7791
2005-05-29,0.94082,7.779,7.7748,7.7783,7.7791
2005-05-30,0.94402,7.7783,7.7781,7.7785,7.7805
2005-05-31,0.94563,7.7785,7.7771,7.7813,7.7813
2005-06-01,0.94357,7.7813,7.7812,7.7837,7.7855
2005-06-02,0.94661,7.7837,7.7801,7.7818,7.7838
2005-06-03,0.94967,7.7818,7.7794,7.7818,7.7833
2005-06-04,0.94967,7.7818,7.7794,7.7818,7.7833
2005-06-05,0.94967,7.7818,7.7794,7.7818,7.7833
2005-06-06,0.9574,7.7818,7.7807,7.7817,7.7829
2005-06-07,0.96025,7.7817,7.78,7.7818,7.7821
2005-06-08,0.96386,7.7818,7.7803,7.7809,7.7821
2005-06-09,0.96506,7.7809,7.7788,7.7789,7.7819
2005-06-10,0.96918,7.7789,7.7762,7.7787,7.7802
2005-06-11,0.96918,7.7789,7.7762,7.7787,7.7802
2005-06-12,0.96918,7.7789,7.7762,7.7787,7.7802
2005-06-13,0.97343,7.7787,7.7752,7.7757,7.7789
2005-06-14,0.97886,7.7757,7.773,7.7741,7.7762
